REId,name_short,phi_mechanic,phi_input,reconciliation,interaction,residual_total,C1_legacy_2in,C4_twosided_1in,published
REL00267,Mälarenergi,-0.3290978402619049,-0.0966060712207617,8.881784197001252e-16,-0.1932121424415234,-0.42570391148266573,1.0000000000000009,0.5742960885173343,1.0
REL00332,Tidaholms Elnät,-0.18403653863515723,-0.0961219420528514,-4.440892098500626e-16,-0.1922438841057028,-0.2801584806880091,1.8244601098569957,1.544301629168987,1.8244601098569961
REL00364,Österlens Kraft,-0.2794502415115696,-0.048396646975223945,-0.08412058292002245,-0.2732273044506517,-0.411967471406816,1.1326758283657146,0.804828939878921,1.216796411285737
REL00570,Västerbergslagens Elnät,-0.6618617839007079,-0.13927608574171302,8.881784197001252e-16,-0.27855217148342604,-0.8011378696424201,1.0000000000000009,0.19886213035757994,1.0
REL00576,Härjeåns,-0.3620893981652329,-0.13343798640294002,-0.10780028349268722,-0.26687597280588005,-0.6033276680608601,1.0000000000000009,0.504472615431828,1.107800283492688
REL00584,Umeå Energi,-0.27677870257117876,0.28537494232913074,-0.018448281590078164,-0.2685270954025709,-0.00985204183212618,1.2084373705551599,1.2170336103131119,1.226885652145238
REL00585,Götene Elförening,-0.8165362727836412,-0.13989516191077467,8.881784197001252e-16,-0.27979032382154934,-0.9564314346944149,1.0000000000000009,0.04356856530558506,1.0
REL00590,LKAB Nät,-0.12522402062403737,0.15544499139418244,-0.09774144238021654,0.03058817169614425,-0.06752047161007146,1.6843092043108854,1.7145301750810304,1.782050646691102
REL00594,VänerEnergi,-0.31535664510953243,-0.10654905081122212,-0.004587950717316103,-0.21309810162244425,-0.42649364663807066,1.0000000000000009,0.5780943040792463,1.004587950717317
REL00824,Skellefteå Kraft,-1.2896914726029718,-0.14193161294566714,8.881784197001252e-16,-0.2838632258913343,-1.431623085548638,1.0000000000000009,-0.43162308554863804,1.0
REL00885,Gävle Energi,-0.659471577631543,-0.12743441697570246,8.881784197001252e-16,-0.2548688339514049,-0.7869059946072445,1.0000000000000009,0.21309400539275547,1.0
REL00886,Kraftringen,-0.2771298392799437,-0.035168349493219786,0.13735405791128708,-0.2708751436829804,-0.17494413086187643,1.403435391687724,1.0911372029145605,1.266081333776437
REL00899,Kvänumbygdens Energi,-1.289691472602971,-0.14193161294566714,0.0,-0.2838632258913343,-1.431623085548638,1.0,-0.43162308554863804,1.0
REL00904,Öresundskraft,-0.40421760201219126,-0.1320125126549998,8.881784197001252e-16,-0.2640250253099996,-0.5362301146671902,1.0000000000000009,0.46376988533280983,1.0
