REId,name_short,v_empty,d_losses,d_grid_subscription,d_grid_connection,d_feed_in,d_capacity_reserve,d_capex_adj,d_cable
REL01010,Sandviken Energi,0.9608738159975427,0.10817809857310845,-0.2832974968999036,-0.006912805360115293,0.0032848724331069334,-0.026628467420497515,0.13994189826511683,0.1439144225737321
REL01012,Brittedals Elnät,1.2482257573577238,0.08882118993760457,0.25865643995115484,0.006534682791992097,0.022206027786286775,-0.027873465356109683,0.057746838306060866,-0.17156512146503378
REL03009,Dala Energi,1.0964548569885268,0.1383465207516421,-0.08596404814225078,-0.019021792864681863,0.0368725111484558,-0.02652142006180913,-0.1983860829228412,-0.016720530762959207
REL03015,Falu Elnät,1.2747077518332262,0.19183292824944687,-0.4642155035284201,-0.039622189458787815,0.17498622266238772,-0.026381552984044987,-0.14940284943125715,0.044709435035428235
REL03016,Vaggeryds Elverk,-0.38620463357431634,-0.07422390846678617,-0.2358031184158449,0.006861601395824479,0.05739204492180017,-0.027724038951393304,0.05731563734722167,0.1629190871463848
REL03019,Trelleborgs Elnät,1.4417693459943148,0.011177856058797175,-0.1318109233806819,-0.0009088962913850196,0.08315556925255763,-0.027371688813437878,0.30401419975703003,0.10668365519010958
REL03028,E.ON,0.0056412570003328,0.1656840171608387,0.36131216258017407,0.02707633913070495,0.2599143225770151,0.012660202610281779,-0.1617609457409408,0.07494558955651875
REL03030,Vattenfall,0.44982276460898696,0.23206497471117693,-0.010340124684216079,0.041048234312879295,0.3003149100307745,-0.027037185107903206,-0.20986952910826417,0.1432532561582489
REL03035,Ellevio,0.12263620529529007,0.21558928749279005,0.031924776373992714,-0.042625812719299105,0.1616040463146895,-0.027303258145239262,0.18704271331320133,0.0688896097432945
REL03038,Lidköping Elnät,0.0906588743727621,0.030976393535464553,-0.6287176772630909,0.006764008616588768,0.17698799684497946,-0.02732944964134454,0.1275782676499082,-0.11975532095768182
REL03041,Hjo Elnät,0.7050008639523098,-0.012240729793555616,0.5190004469447063,-0.05952872050061231,-0.011046677052317655,-0.02718043223193245,-0.3186177354917108,0.049734371664555965
REL03042,Skara Elnät,-0.38620463357431634,-0.07422390846678617,0.3883718131232894,0.006861601395824479,0.05739204492180017,-0.027724038951393304,0.05731563734722167,0.1629190871463848
REL03043,Karlsborgs Elnät,0.9851979612157002,-0.09162195439249565,0.4601924924296341,-0.02192458586052215,-0.008383454410543223,-0.026609220040585413,-0.023059188224672234,-0.1162560521947853
