REId,name_short,v_empty,v_full,phi_losses,phi_grid_subscription,phi_grid_connection,phi_feed_in,phi_capacity_reserve,phi_capex_adj,phi_cable,sum_phi
REL00193,Töre Energi,1.1170304853016955,-0.21977651162595757,-0.038985167151245836,0.27626630491786164,-0.007392496790245321,-0.028220182520812025,-0.0037928535834393035,-0.2563735799572565,-1.2783090218425155,-1.3368069969276528
REL00195,Uddevalla Energi,0.11776927694671091,-0.07689901578926683,0.01137700486359305,-0.22835077022889524,-0.025082085145067094,0.08665428994052425,-0.005040783675670327,-0.12071494888846233,0.08648900039799995,-0.19466829273597774
REL00201,Vallebygdens Energi,0.3604405985279113,0.4434432201640748,0.006103408323681847,0.07698823693621001,-0.006202609167223245,-0.04203685755320555,-0.003959949283774542,0.13271613149271758,-0.08060573911224275,0.08300262163616334
REL00203,Vara Energi,0.5958178183142593,1.4238795009984706,0.0005645624526168479,0.23221655063811783,0.0187883116035102,0.4119521745173203,-0.0038347032446515287,0.0889008563394058,0.07947393037789188,0.8280616826842113
REL00204,Varberg Energi,0.46506217182946674,0.32952265682910653,0.043831813234061136,-0.17360616420863711,-0.028409854681483868,-0.021358363256587402,-0.005131314220037257,-0.01407900287483441,0.06321337100715864,-0.13553951500036027
REL00205,Varbergsortens Elkraft,1.50887235256294,1.4318005222552443,-0.0041644939312546255,-0.09877602498279883,-0.0067521598426848834,0.05682939909140077,-0.003737545869948455,-0.03400824987424926,0.013537245101839696,-0.07707183030769559
REL00235,Värnamo Elnät,0.15342086618232997,0.9310839749261834,0.11062689556028286,0.3046689051270452,-0.016494312232179707,0.1047391584122928,-0.004310282684700899,0.19640750076186658,0.0820252437992466,0.7776631087438535
REL00239,Västerviks Elnät,0.04213859197781389,-0.1997787984493682,0.08676420055676011,-0.32702725507751723,-0.02227865408468185,0.0693341804613491,-0.005609832874828911,-0.11223637207099514,0.06913634266273185,-0.24191739042718208
REL00242,Västra Orust Energi,1.3038819650615485,1.389361031254932,-0.03883175782047195,0.009736174969053032,-0.022654480943429367,-0.025011774377759394,-0.003818656420314754,0.16308620641891378,0.0029733543673921775,0.08547906619338352
REL00243,Växjö Energi,0.702992027250815,0.7084781469255397,-0.07659100460253757,-0.3797347993113672,-0.015268136362275362,0.4335990391020294,-0.00402683500382385,-0.038055331984657034,0.08556318783735636,0.00548611967472476
