subset_mask,players,REId,peer_REId,is_self,lambda_weight
0,(baseline),REL00904,REL03042,False,3.57560852969439
0,(baseline),REL00936,REL00003,False,0.0037746663089759562
0,(baseline),REL00936,REL00944,False,0.04959208034878698
0,(baseline),REL00936,REL03042,False,1.1039091227832154
0,(baseline),REL00937,REL00111,False,0.0468359492959986
0,(baseline),REL00937,REL00191,False,0.09738897233755614
0,(baseline),REL00937,REL03042,False,0.3050613390306936
0,(baseline),REL00937,REL03050,False,7.588517357191634
0,(baseline),REL00938,REL00003,False,4.587099703813074
0,(baseline),REL00938,REL00158,False,0.0066545879705246875
0,(baseline),REL00938,REL00191,False,0.07115973942761641
0,(baseline),REL00938,REL03042,False,0.559376758334542
0,(baseline),REL00938,REL03050,False,6.358940329151558
0,(baseline),REL00944,REL00944,True,1.0
0,(baseline),REL00945,REL00003,False,29.44437609816213
0,(baseline),REL00945,REL00944,False,0.85110320869384
0,(baseline),REL00945,REL03042,False,3.1140647957989547
0,(baseline),REL00958,REL00585,False,0.08805571449587643
0,(baseline),REL00958,REL03042,False,0.5823242036642914
0,(baseline),REL00959,REL00003,False,1.2431922355267147
0,(baseline),REL00959,REL00158,False,0.15592325765887552
0,(baseline),REL00959,REL00191,False,0.014798064598804502
0,(baseline),REL00959,REL03050,False,1.8870953064071323
0,(baseline),REL01010,REL00111,False,0.05032646303749125
0,(baseline),REL01010,REL00191,False,0.11109303557444739
0,(baseline),REL01010,REL03042,False,1.353174511090376
0,(baseline),REL01010,REL03050,False,16.124212087959542
0,(baseline),REL01012,REL00003,False,4.063881586006418
0,(baseline),REL01012,REL00255,False,0.20135168268413411
0,(baseline),REL01012,REL00824,False,0.005154451223470288
0,(baseline),REL01012,REL00899,False,0.008046865937955993
0,(baseline),REL01012,REL03042,False,0.32084532066703303
0,(baseline),REL03009,REL00003,False,17.43121653250055
0,(baseline),REL03009,REL00158,False,1.575542523476997
0,(baseline),REL03009,REL00191,False,0.5573033482639244
0,(baseline),REL03009,REL03042,False,1.1814174119321452
0,(baseline),REL03015,REL00003,False,8.34112764108494
0,(baseline),REL03015,REL00158,False,0.8133352596908897
0,(baseline),REL03015,REL00191,False,0.8783512144419443
0,(baseline),REL03015,REL03042,False,0.8016163986931946
0,(baseline),REL03019,REL00016,False,0.2157285253485558
0,(baseline),REL03019,REL00033,False,0.058336558697390364
0,(baseline),REL03019,REL00062,False,0.024000451469024044
0,(baseline),REL03019,REL00067,False,2.466097413107016
0,(baseline),REL03019,REL00191,False,0.0389551146788097
0,(baseline),REL03028,REL00003,False,609.7607835080587
0,(baseline),REL03028,REL00033,False,5.193669804528106
0,(baseline),REL03028,REL00158,False,55.32766464621665
0,(baseline),REL03028,REL03042,False,36.75787278026927
0,(baseline),REL03028,REL03050,False,548.003403638344
0,(baseline),REL03030,REL00003,False,405.0728237131793
0,(baseline),REL03030,REL00033,False,1.257043769855583
0,(baseline),REL03030,REL00158,False,33.92310448461475
0,(baseline),REL03030,REL03042,False,39.05889710225487
0,(baseline),REL03030,REL03050,False,1086.1772216152206
0,(baseline),REL03035,REL00033,False,0.16404023643203958
0,(baseline),REL03035,REL00111,False,2.0211408605752514
0,(baseline),REL03035,REL00191,False,19.35614698948787
0,(baseline),REL03035,REL03042,False,22.90345709744308
0,(baseline),REL03035,REL03050,False,544.7148679598271
0,(baseline),REL03038,REL00003,False,8.426755569844229
0,(baseline),REL03038,REL00944,False,0.19697518056830302
